date,NO2(t-2),NO2(t-1),NO2(t)
2023-11-19,0.40192024921220204,0.6007232904288744,0.2265096071406494
2023-11-20,0.6007232904288744,0.2265096071406494,0.2107835172404188
2023-11-21,0.2265096071406494,0.2107835172404188,0.13415348640775107
2023-11-22,0.2107835172404188,0.13415348640775107,0.15703389626550643
2023-11-23,0.13415348640775107,0.15703389626550643,0.17925728858218834
2023-11-24,0.15703389626550643,0.17925728858218834,0.21076143544039108
2023-11-25,0.17925728858218834,0.21076143544039108,0.24226562811145688
2023-11-26,0.21076143544039108,0.24226562811145688,0.2737697596987052
2023-11-27,0.24226562811145688,0.2737697596987052,0.27267579434007116
2023-11-28,0.2737697596987052,0.27267579434007116,0.2562496075364725
2023-11-29,0.27267579434007116,0.2562496075364725,0.2398234970876457
2023-11-30,0.2562496075364725,0.2398234970876457,0.23841611066139842
2023-12-01,0.2398234970876457,0.23841611066139842,0.2337687163871023
2023-12-02,0.23841611066139842,0.2337687163871023,0.22893023666069914
2023-12-03,0.2337687163871023,0.22893023666069914,0.2314762101742672
2023-12-04,0.22893023666069914,0.2314762101742672,0.23748513219881948
2023-12-05,0.2314762101742672,0.23748513219881948,0.20435647648505142
2023-12-06,0.23748513219881948,0.20435647648505142,0.3656016896516927
2023-12-07,0.20435647648505142,0.3656016896516927,0.5505406437061555
2023-12-08,0.3656016896516927,0.5505406437061555,0.5194592579488982
2023-12-09,0.5505406437061555,0.5194592579488982,0.4602874402875142
2023-12-10,0.5194592579488982,0.4602874402875142,0.3949309930005275
2023-12-11,0.4602874402875142,0.3949309930005275,0.32957449990067766
2023-12-12,0.3949309930005275,0.32957449990067766,0.4019519822553953
2023-12-13,0.32957449990067766,0.4019519822553953,0.4643016397095635
2023-12-14,0.4019519822553953,0.4643016397095635,0.6527132087891305
2023-12-15,0.4643016397095635,0.6527132087891305,0.5576281685092397
2023-12-16,0.6527132087891305,0.5576281685092397,0.4625430366036224
2023-12-17,0.5576281685092397,0.4625430366036224,0.5033838296963621
2023-12-18,0.4625430366036224,0.5033838296963621,0.8854340322869512
2023-12-19,0.5033838296963621,0.8854340322869512,0.6392263447419172
2023-12-20,0.8854340322869512,0.6392263447419172,0.6831062257359806
2023-12-21,0.6392263447419172,0.6831062257359806,0.3548854043150098
2023-12-22,0.6831062257359806,0.3548854043150098,0.34180697721353703
2023-12-23,0.3548854043150098,0.34180697721353703,0.2999003478601239
2023-12-24,0.34180697721353703,0.2999003478601239,0.26860555051546187
2023-12-25,0.2999003478601239,0.26860555051546187,0.2854427855979995
2023-12-26,0.26860555051546187,0.2854427855979995,0.3150591523471945
2023-12-27,0.2854427855979995,0.3150591523471945,0.3378566103807794
2023-12-28,0.3150591523471945,0.3378566103807794,0.30721899855768886
2023-12-29,0.3378566103807794,0.30721899855768886,0.27658147836032465
2023-12-30,0.30721899855768886,0.27658147836032465,0.2349502453981284
2023-12-31,0.27658147836032465,0.2349502453981284,0.19877920325689138
2024-01-01,0.2349502453981284,0.19877920325689138,0.22735893944565697
2024-01-02,0.19877920325689138,0.22735893944565697,0.25593867563442263
2024-01-03,0.22735893944565697,0.25593867563442263,0.2526009336783672
2024-01-04,0.25593867563442263,0.2526009336783672,0.24926322226422068
2024-01-05,0.2526009336783672,0.24926322226422068,0.30882838916842204
2024-01-06,0.24926322226422068,0.30882838916842204,0.3185401969391143
2024-01-07,0.30882838916842204,0.3185401969391143,0.3282520963355329
2024-01-08,0.3185401969391143,0.3282520963355329,0.3379639193771796
2024-01-09,0.3282520963355329,0.3379639193771796,0.35587432077849124
2024-01-10,0.3379639193771796,0.35587432077849124,0.2864698489055123
2024-01-11,0.35587432077849124,0.2864698489055123,0.30185968766133753
2024-01-12,0.2864698489055123,0.30185968766133753,0.43489497370585994
2024-01-13,0.30185968766133753,0.43489497370585994,0.30136657327358185
2024-01-14,0.43489497370585994,0.30136657327358185,0.3746362458667635
2024-01-15,0.30136657327358185,0.3746362458667635,0.3711112820100583
2024-01-16,0.3746362458667635,0.3711112820100583,0.36758634869526186
2024-01-17,0.3711112820100583,0.36758634869526186,0.33740176500469
2024-01-18,0.36758634869526186,0.33740176500469,0.30721716604316374
2024-01-19,0.33740176500469,0.30721716604316374,0.27631953567991296
2024-01-20,0.30721716604316374,0.27631953567991296,0.24542182896189027
2024-01-21,0.27631953567991296,0.24542182896189027,0.2145241985986395
2024-01-22,0.24542182896189027,0.2145241985986395,0.25693174579749445
2024-01-23,0.2145241985986395,0.25693174579749445,0.2710053199118341
2024-01-24,0.25693174579749445,0.2710053199118341,0.28125188596286543
2024-01-25,0.2710053199118341,0.28125188596286543,0.29149837565912484
2024-01-26,0.28125188596286543,0.29149837565912484,0.2492207079272379
2024-01-27,0.29149837565912484,0.2492207079272379,0.28093721267699345
2024-01-28,0.2492207079272379,0.28093721267699345,0.2927348190220871
2024-01-29,0.28093721267699345,0.2927348190220871,0.29259890752814066
2024-01-30,0.2927348190220871,0.29259890752814066,0.2924630113051486
2024-01-31,0.29259890752814066,0.2924630113051486,0.27580275131287446
2024-02-01,0.2924630113051486,0.27580275131287446,0.2886888102020726
2024-02-02,0.27580275131287446,0.2886888102020726,0.31768148063264257
2024-02-03,0.2886888102020726,0.31768148063264257,0.346674120521304
2024-02-04,0.31768148063264257,0.346674120521304,0.36840019893777676
2024-02-05,0.346674120521304,0.36840019893777676,0.37814059393506105
2024-02-06,0.36840019893777676,0.37814059393506105,0.3788824874405563
2024-02-07,0.37814059393506105,0.3788824874405563,0.3496388388748165
2024-02-08,0.3788824874405563,0.3496388388748165,0.3203952972057573
2024-02-09,0.3496388388748165,0.3203952972057573,0.2727385732335109
2024-02-10,0.3203952972057573,0.2727385732335109,0.26915072358668535
2024-02-11,0.2727385732335109,0.26915072358668535,0.26556291975272295
2024-02-12,0.26915072358668535,0.26556291975272295,0.26197508537685166
2024-02-13,0.26556291975272295,0.26197508537685166,0.3593663146446987
2024-02-14,0.26197508537685166,0.3593663146446987,0.29477617911925436
2024-02-15,0.3593663146446987,0.29477617911925436,0.2301861046776277
2024-02-16,0.29477617911925436,0.2301861046776277,0.2909952740672074
2024-02-17,0.2301861046776277,0.2909952740672074,0.28808539371085895
2024-02-18,0.2909952740672074,0.28808539371085895,0.23210209023936793
2024-02-19,0.28808539371085895,0.23210209023936793,0.1652167760840728
2024-02-20,0.23210209023936793,0.1652167760840728,0.18376686249324106
2024-02-21,0.1652167760840728,0.18376686249324106,0.4987890591308457
2024-02-22,0.18376686249324106,0.4987890591308457,0.2948158225168145
2024-02-23,0.4987890591308457,0.2948158225168145,0.3230029653750045
2024-02-24,0.2948158225168145,0.3230029653750045,0.35119023040082953
2024-02-25,0.3230029653750045,0.35119023040082953,0.37937737325901966
2024-02-26,0.35119023040082953,0.37937737325901966,0.4117770394237401
2024-02-27,0.37937737325901966,0.4117770394237401,0.34628984222538606
2024-02-28,0.4117770394237401,0.34628984222538606,0.2635180931489123
2024-02-29,0.34628984222538606,0.2635180931489123,0.25220651546874373
2024-03-01,0.2635180931489123,0.25220651546874373,0.2410018039272985
2024-03-02,0.25220651546874373,0.2410018039272985,0.25676581160724476
2024-03-03,0.2410018039272985,0.25676581160724476,0.2202052379617845
2024-03-04,0.25676581160724476,0.2202052379617845,0.20389897396290055
2024-03-05,0.2202052379617845,0.20389897396290055,0.1875927099640167
2024-03-06,0.20389897396290055,0.1875927099640167,0.17128647650704157
2024-03-07,0.1875927099640167,0.17128647650704157,0.17925070680085234
2024-03-08,0.17128647650704157,0.17925070680085234,0.187214937094663
2024-03-09,0.17925070680085234,0.187214937094663,0.1894307678455762
2024-03-10,0.187214937094663,0.1894307678455762,0.19164658332553494
2024-03-11,0.1894307678455762,0.19164658332553494,0.19386241407644808
2024-03-12,0.19164658332553494,0.19386241407644808,0.1960782142854525
2024-03-13,0.19386241407644808,0.1960782142854525,0.19829401449445686
2024-03-14,0.1960782142854525,0.19829401449445686,0.20050984524537
2024-03-15,0.19829401449445686,0.20050984524537,0.20272567599628313
2024-03-16,0.20050984524537,0.20272567599628313,0.2007258376240643
2024-03-17,0.20272567599628313,0.2007258376240643,0.2084985396080911
2024-03-18,0.2007258376240643,0.2084985396080911,0.21627125686307228
2024-03-19,0.2084985396080911,0.21627125686307228,0.19707230760246744
2024-03-20,0.21627125686307228,0.19707230760246744,0.24687012627491087
2024-03-21,0.19707230760246744,0.24687012627491087,0.16862076344021124
2024-03-22,0.24687012627491087,0.16862076344021124,0.2962731907767344
2024-03-23,0.16862076344021124,0.2962731907767344,0.27412190790661606
2024-03-24,0.2962731907767344,0.27412190790661606,0.2519706250364976
2024-03-25,0.27412190790661606,0.2519706250364976,0.2315909866673573
2024-03-26,0.2519706250364976,0.2315909866673573,0.21121131775630828
2024-03-27,0.2315909866673573,0.21121131775630828,0.27862491530728695
2024-03-28,0.21121131775630828,0.27862491530728695,0.2157207389578172
2024-03-29,0.27862491530728695,0.2157207389578172,0.16423894633346828
2024-03-30,0.2157207389578172,0.16423894633346828,0.10464965132135293
2024-03-31,0.16423894633346828,0.10464965132135293,0.12170521523860436
2024-04-01,0.10464965132135293,0.12170521523860436,0.14049386449703458
2024-04-02,0.12170521523860436,0.14049386449703458,0.15928249848451045
2024-04-03,0.14049386449703458,0.15928249848451045,0.14350389177218079
2024-04-04,0.15928249848451045,0.14350389177218079,0.3450783516018743
2024-04-05,0.14350389177218079,0.3450783516018743,0.3218141673896955
2024-04-06,0.3450783516018743,0.3218141673896955,0.29855002899037975
2024-04-07,0.3218141673896955,0.29855002899037975,0.27528586004915534
2024-04-08,0.29855002899037975,0.27528586004915534,0.2509834036489518
2024-04-09,0.27528586004915534,0.2509834036489518,0.22264753696609382
2024-04-10,0.2509834036489518,0.22264753696609382,0.18538972208573382
