date,NO2
2025-05-24,1.5753907e-05
2025-05-25,1.5383852e-05
2025-05-26,1.6647034e-05
2025-05-27,1.7910217e-05
2025-05-28,1.91734e-05
2025-05-29,1.5607537e-05
2025-05-30,2.2884275e-05
2025-05-31,2.2132768e-05
2025-06-01,2.2374756e-05
2025-06-02,2.2616738e-05
2025-06-03,2.0257685e-05
2025-06-04,1.624538e-05
2025-06-05,2.1112584e-05
2025-06-06,1.7988981e-05
2025-06-07,1.8341416e-05
2025-06-08,1.8258612e-05
2025-06-09,1.6524846e-05
2025-06-10,1.47910805e-05
2025-06-11,1.3533391e-05
2025-06-12,1.26744435e-05
2025-06-13,1.37523875e-05
2025-06-14,1.4830329e-05
2025-06-15,1.588011e-05
2025-06-16,1.8870098e-05
2025-06-17,2.0465552e-05
2025-06-18,2.8869024e-05
2025-06-19,2.5368916e-05
2025-06-20,2.1868807e-05
2025-06-21,1.83687e-05
2025-06-22,1.6328255e-05
2025-06-23,1.4287809e-05
2025-06-24,2.092955e-05
2025-06-25,1.8468301e-05
2025-06-26,1.600705e-05
2025-06-27,1.34556e-05
2025-06-28,1.3579781e-05
2025-06-29,1.3703961e-05
2025-06-30,1.3656374e-05
2025-07-01,1.5595788e-05
2025-07-02,1.879838e-05
2025-07-03,1.7301234e-05
2025-07-04,1.7163089e-05
2025-07-05,1.6836846e-05
2025-07-06,1.7367625e-05
2025-07-07,1.7898403e-05
2025-07-08,1.9506584e-05
2025-07-09,3.31548e-05
2025-07-10,3.391209e-05
2025-07-11,2.0349378e-05
2025-07-12,1.863343e-05
2025-07-13,1.6917478e-05
2025-07-14,2.9234805e-05
2025-07-15,2.1992666e-05
2025-07-16,2.2486907e-05
2025-07-17,2.9439145e-05
2025-07-18,2.9412224e-05
2025-07-19,2.95191e-05
2025-07-20,2.2486933e-05
2025-07-21,1.5866597e-05
2025-07-22,1.8592267e-05
2025-07-23,1.6192573e-05
2025-07-24,1.5393873e-05
2025-07-25,1.51494205e-05
2025-07-26,1.7108847e-05
2025-07-27,1.8787148e-05
2025-07-28,1.709632e-05
2025-07-29,1.5167631e-05
2025-07-30,1.3306559e-05
2025-07-31,1.733603e-05
2025-08-01,1.4828855e-05
2025-08-02,1.7410428e-05
2025-08-03,1.5184603e-05
2025-08-04,2.066444e-05
2025-08-05,2.1809916e-05
2025-08-06,2.1630074e-05
2025-08-07,1.932906e-05
2025-08-08,1.7632814e-05
2025-08-09,1.7445205e-05
2025-08-10,1.815764e-05
2025-08-11,1.9189865e-05
2025-08-12,1.866352e-05
2025-08-13,1.9897647e-05
2025-08-14,2.3038818e-05
2025-08-15,2.0069323e-05
2025-08-16,1.7213522e-05
2025-08-17,1.3922597e-05
2025-08-18,1.4421155e-05
2025-08-19,1.6141612e-05
2025-08-20,1.7862068e-05
2025-08-21,2.083422e-05
2025-08-22,2.269228e-05
2025-08-23,1.5868747e-05
2025-08-24,2.0623735e-05
2025-08-25,1.3738906e-05
2025-08-26,2.9772034e-05
2025-08-27,3.4725366e-05
2025-08-28,2.091071e-05
2025-08-29,2.3410314e-05
2025-08-30,1.8007542e-05
2025-08-31,1.2549106e-05
2025-09-01,1.4912528e-05
2025-09-02,1.4027209e-05
2025-09-03,1.600841e-05
2025-09-04,1.7227867e-05
2025-09-05,1.975604e-05
2025-09-06,2.6510921e-05
2025-09-07,1.9482659e-05
2025-09-08,2.2320866e-05
2025-09-09,2.3610926e-05
2025-09-10,2.1839784e-05
2025-09-11,2.006864e-05
2025-09-12,2.3639665e-05
2025-09-13,2.1835465e-05
2025-09-14,2.1911148e-05
2025-09-15,2.1318332e-05
2025-09-16,2.186781e-05
2025-09-17,1.9705207e-05
2025-09-18,1.7542605e-05
2025-09-19,1.5380007e-05
2025-09-20,1.375826e-05
2025-09-21,1.5170939e-05
2025-09-22,1.932825e-05
2025-09-23,3.2598517e-05
2025-09-24,3.5670455e-05
2025-09-25,2.0828147e-05
2025-09-26,1.7453138e-05
2025-09-27,1.7135004e-05
2025-09-28,1.1267698e-05
2025-09-29,1.221098e-05
2025-09-30,1.221098e-05
